country,visitors,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,LearnerRatioPerCapita
Runion,5,,,,,,,,,,,0
Czech Republic,16,,,,,,,,,,,0
European Union,11,,,,,,,,,,,0
Macedonia,1,,,,,,,,,,,0
Hong Kong SAR China,30,,,,,,,,,,,0
Guernsey,1,,,,,,,,,,,0
Trinidad & Tobago,1,,,,,,,,,,,0
Myanmar (Burma),2,,,,,,,,,,,0
American Samoa,5,55169.0,-0.22 %,-121.0,276.0,200.0,,N.A.,N.A.,88 %,0.00 %,11033
Isle of Man,1,85112.0,0.53 %,449.0,149.0,570.0,,N.A.,N.A.,53 %,0.00 %,85112
Luxembourg,6,627704.0,1.66 %,10249.0,242.0,2590.0,9741.0,1.5,40,88 %,0.01 %,104617
Martinique,3,375213.0,-0.08 %,-289.0,354.0,1060.0,-960.0,1.9,47,92 %,0.00 %,125071
Malta,3,441750.0,0.27 %,1171.0,1380.0,320.0,900.0,1.5,43,93 %,0.01 %,147250
Sweden,54,10110233.0,0.63 %,62886.0,25.0,410340.0,40000.0,1.9,41,88 %,0.13 %,187226
Singapore,27,5858322.0,0.79 %,46005.0,8358.0,700.0,27028.0,1.2,42,N.A.,0.08 %,216974
Ireland,22,4947267.0,1.13 %,55291.0,72.0,68890.0,23604.0,1.8,38,63 %,0.06 %,224875
Norway,24,5428594.0,0.79 %,42384.0,15.0,365268.0,28000.0,1.7,40,83 %,0.07 %,226191
United States,1451,331341050.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,228353
Suriname,2,587541.0,0.90 %,5260.0,4.0,156000.0,-1000.0,2.4,29,65 %,0.01 %,293770
Mexico,435,129166028.0,1.06 %,1357224.0,66.0,1943950.0,-60000.0,2.1,29,84 %,1.65 %,296933
Canada,118,37799407.0,0.89 %,331107.0,4.0,9093510.0,242032.0,1.5,41,81 %,0.48 %,320333
Australia,78,25550683.0,1.18 %,296686.0,3.0,7682300.0,158246.0,1.8,38,86 %,0.33 %,327572
Iceland,1,341628.0,0.65 %,2212.0,3.0,100250.0,380.0,1.8,37,94 %,0.00 %,341628
United Kingdom,193,67948282.0,0.53 %,355839.0,281.0,241930.0,260650.0,1.8,40,83 %,0.87 %,352063
New Zealand,13,4829021.0,0.82 %,39170.0,18.0,263310.0,14881.0,1.9,38,87 %,0.06 %,371463
Switzerland,23,8665615.0,0.74 %,63257.0,219.0,39516.0,52000.0,1.5,43,74 %,0.11 %,376765
